id,geo_1,geo_2,url,size,boost,title,country
ZR1wnsgq,-70.3126,-18.478254,/visit/arica/ZR1wnsgq,10,0,"Arica","Chile"
KYWRtjVi,116.073456,5.980408,/visit/kota-kinabalu/KYWRtjVi,2,0,"Kota Kinabalu","Malaysia"
4yVCXO-B,1.3868339,51.389645,/visit/margate/4yVCXO-B,2,0,"Margate","United Kingdom"
EBarPBO9,-101.85516,33.57786,/visit/lubbock-tx/EBarPBO9,9,0,"Lubbock TX","United States"
GLf7aSS5,-71.64848,-35.423244,/visit/talca/GLf7aSS5,12,0,"Talca","Chile"
pOhKz0c6,-86.586105,34.73037,/visit/huntsville-al/pOhKz0c6,10,0,"Huntsville AL","United States"
Ra4fe6Kl,36.336067,41.2797,/visit/samsun/Ra4fe6Kl,8,0,"Samsun","Turkey"
HFGwC7FN,-0.1224937,38.541058,/visit/benidorm/HFGwC7FN,9,0,"Benidorm","Spain"
E8b5bSBb,16.606836,49.19506,/visit/brno/E8b5bSBb,8,0,"Brno","Czechia"
wEFwYale,-118.80737,34.14665,/visit/westlake-village-ca/wEFwYale,2,0,"Westlake Village CA","United States"
NW0pyjPV,135.06625,48.50273,/visit/khabarovsk/NW0pyjPV,8,0,"Khabarovsk","Russia"
BBHBj0Uv,-50.41878,-22.660435,/visit/assis-sp/BBHBj0Uv,8,0,"Assis SP","Brazil"
rbtk73li,-71.21668,-33.686157,/visit/melipilla/rbtk73li,8,0,"Melipilla","Chile"
LGbwHsvF,-119.018715,35.37329,/visit/bakersfield-ca/LGbwHsvF,8,0,"Bakersfield CA","United States"
f6XTVcGH,-93.2923,37.208958,/visit/springfield-mo/f6XTVcGH,9,0,"Springfield MO","United States"
rshAAVtb,110.83206,-7.6813416,/visit/sukoharjo/rshAAVtb,2,0,"Sukoharjo","Indonesia"
y2KvTO3I,6.5665016,53.219383,/visit/groningen/y2KvTO3I,8,0,"Groningen","Netherlands"
0AVyR0QK,130.84564,-12.46344,/visit/darwin/0AVyR0QK,8,0,"Darwin","Australia"
6EpIywTB,-65.21759,-26.808285,/visit/san-miguel-de-tucuman/6EpIywTB,12,0,"San Miguel de Tucumán","Argentina"
T6fDFFR7,-6.288596,36.52706,/visit/cadiz/T6fDFFR7,7,0,"Cádiz","Spain"
6x6u7n8r,-117.42605,47.65878,/visit/spokane-wa/6x6u7n8r,12,0,"Spokane WA","United States"
STGhEqeE,-93.60911,41.600544,/visit/des-moines-ia/STGhEqeE,23,0,"Des Moines IA","United States"
CiswrHmd,-3.943646,51.62144,/visit/swansea/CiswrHmd,7,0,"Swansea","United Kingdom"
qfl6lVCy,28.634813,44.1598,/visit/constanta/qfl6lVCy,10,0,"Constanța","Romania"
nSkLA0ID,8.951052,46.003677,/visit/lugano/nSkLA0ID,8,0,"Lugano","Switzerland"
RK8GHne1,-1.8585424,38.99435,/visit/albacete/RK8GHne1,7,0,"Albacete","Spain"
zLW5HbtV,-106.41114,23.249414,/visit/mazatlan/zLW5HbtV,8,0,"Mazatlán","Mexico"
nIg7G0wC,-3.533899,50.71841,/visit/exeter/nIg7G0wC,9,0,"Exeter","United Kingdom"
bQFGWM4J,-70.520546,19.215261,/visit/la-vega/bQFGWM4J,7,0,"La Vega","Dominican Republic"
3vxTMFGX,74.357155,31.554605,/visit/lahore/3vxTMFGX,3,0,"Lahore","Pakistan"
7rvuWwf7,72.877655,19.075983,/visit/mumbai/7rvuWwf7,21,0,"Mumbai","India"
LsP5QTo5,-2.1575332,53.410633,/visit/stockport/LsP5QTo5,3,0,"Stockport","United Kingdom"
0k2wLLgO,-9.05679,53.270668,/visit/galway/0k2wLLgO,7,0,"Galway","Ireland"
XXg_wWlv,19.756191,43.03694,/visit/bijelo-polje/XXg_wWlv,3,0,"Bijelo Polje","Montenegro"
MKX233O4,-45.556355,-23.020456,/visit/taubate-sp/MKX233O4,7,0,"Taubaté SP","Brazil"
FZ2DA84B,15.439504,47.070713,/visit/graz/FZ2DA84B,7,0,"Graz","Austria"
eXacOXzV,-109.46625,41.528576,/visit/green-river-wy/eXacOXzV,7,0,"Green River WY","United States"
AnVvSIon,24.88649,41.130035,/visit/xanthi/AnVvSIon,9,0,"Xanthi","Greece"
R6OuJpsE,-79.02153,-8.109053,/visit/trujillo/R6OuJpsE,7,0,"Trujillo","Peru"
bk5mtnh9,55.100452,51.766647,/visit/orenburg/bk5mtnh9,13,0,"Orenburg","Russia"
JCKYoXZS,3.16207,50.724995,/visit/tourcoing/JCKYoXZS,7,0,"Tourcoing","France"
8wlMqNNm,-119.77258,36.74684,/visit/fresno-ca/8wlMqNNm,10,0,"Fresno CA","United States"
h4d5MBQU,24.018036,35.51383,/visit/chania/h4d5MBQU,15,0,"Chania","Greece"
cclYqvT6,-86.158615,41.66199,/visit/mishawaka-in/cclYqvT6,6,0,"Mishawaka IN","United States"
GKFh4X2F,-57.085842,-29.761911,/visit/uruguaiana-rs/GKFh4X2F,6,0,"Uruguaiana RS","Brazil"
oBbGbVdx,22.114126,37.042236,/visit/kalamata/oBbGbVdx,6,0,"Kalamata","Greece"
mhhfqjTs,23.541319,41.090923,/visit/serres/mhhfqjTs,6,0,"Serres","Greece"
SklXW3g6,-4.4861226,54.152336,/visit/douglas/SklXW3g6,6,1,"Douglas","Isle of Man"
QtH0eU6V,114.1747,22.278315,/visit/hong-kong/QtH0eU6V,19,1,"Hong Kong","Hong Kong"
xOWy9ghc,20.452215,54.710426,/visit/kaliningrad/xOWy9ghc,6,0,"Kaliningrad","Russia"
KV7yz8fw,-71.53745,-16.409048,/visit/arequipa/KV7yz8fw,14,0,"Arequipa","Peru"
K5WCFJ6K,18.646639,54.352024,/visit/gdansk/K5WCFJ6K,5,0,"Gdańsk","Poland"
xB52wlA8,-0.32686085,53.766888,/visit/hull/xB52wlA8,5,0,"Hull","United Kingdom"
